row,id,field,old,new,note
88,87,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
89,88,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
89,88,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
90,89,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
91,90,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
91,90,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
92,91,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
93,92,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
94,93,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
95,94,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
96,95,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
96,95,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
97,96,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
98,97,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
98,97,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
99,98,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
100,99,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
101,100,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
101,100,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
102,101,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
102,101,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
102,101,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
103,102,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
103,102,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
103,102,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
104,103,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
104,103,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
104,103,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
105,104,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
105,104,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
105,104,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
106,105,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
106,105,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
106,105,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
107,106,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
108,107,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
109,108,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
110,109,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
111,110,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
111,110,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
112,111,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
113,112,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
114,113,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
114,113,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
115,114,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
115,114,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
116,115,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
116,115,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
117,116,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
118,117,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
119,118,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
120,119,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
120,119,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
121,120,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
121,120,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
122,121,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
123,122,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
124,123,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
125,124,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
126,125,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
126,125,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
127,126,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
128,127,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
129,128,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
130,129,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
131,130,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
132,131,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
132,131,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
133,132,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
134,133,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
135,134,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
136,135,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
137,136,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
137,136,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
138,137,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
138,137,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
139,138,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
139,138,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
140,139,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
141,140,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
141,140,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
142,141,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
143,142,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
144,143,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
145,144,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
146,145,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
147,146,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
148,147,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
149,148,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
150,149,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
151,150,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
152,151,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
153,152,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
154,153,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
155,154,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
156,155,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
157,156,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
157,156,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
158,157,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
158,157,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
159,158,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
160,159,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
161,160,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
